title,category,price,description,colour,url,img_url
Nike Air Pegasus '89 Premium,Shoes,"Rp1,729,000","The Air Pegasus '89 Premium resurrects a look that's as fresh as the era it came from. Blending retro style with modern comfort, it features an encapsulated Air-Sole unit and a Waffle outsole inspired by the original. Neutral suede overlays and mesh fabric are paired with a metallic Swoosh logo for style in every step.",Light Iron Ore/Photon Dust/Flat Pewter/Metallic Silver,https://www.nike.com/id/t/air-pegasus-89-shoes-Jh7lxZ/FN6838-012,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0716b7f3-2969-4865-a852-d568008bfcf6/air-pegasus-89-shoes-Jh7lxZ.png"
Nike Dunk High Retro Premium,Men's Shoes,"Rp1,648,000","More iconic than amber waves of grain, this Dunk High redefines timeless. Canvas underlays with natural variation nod to classic workwear, while textured leather overlays in a warm hue add polish to your look. A punctuation of orange underfoot energises the earthy upper—and that plush high-top collar? It brings sofa-night softness anywhere you go. They're essential for a reason.",Team Gold/Team Gold/Safety Orange/Wheat Gold,https://www.nike.com/id/t/dunk-high-retro-shoes-nkGTDG/DV7215-700,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/391e53c5-9723-4787-92bb-de48a107e586/dunk-high-retro-shoes-nkGTDG.png"
Nike Zoom Mamba 6,Athletics Distance Spikes,"Rp1,208,000","Unleash your Herculean kick down the homestretch in the Nike Zoom Mamba 6. One of our lightest distance spikes, it's ready to help you hunt personal records. A minimal midsole, new upper and increased heel cushioning complete an all-round spike that's versatile enough for everything from the 800 to the 10,000 to the watery, hurdle-laden steeplechase.",White/Metallic Silver/Black,https://www.nike.com/id/t/zoom-mamba-6-athletics-distance-spikes-JdTpQM/DR2733-100,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/504dc58d-c566-4423-b18e-e36fd6af6cc3/zoom-mamba-6-athletics-distance-spikes-JdTpQM.png"
Nike React Pegasus Trail 4 SE,Men's Trail-Running Shoes,"Rp2,099,000","Running is your daily ritual, taking you from road to trail as you seek out new adventures and goals. Let the Nike React Pegasus Trail 4 take you there and back again with its supportive and springy feel. Underfoot traction keeps you going over rocky terrain, while still providing a smooth ride for the road. Midfoot support is controlled by the laces, letting you find the right fit and feel. Sharp, bright hues complement dark-room-colour neutrals, speaking to an inclusive world where digital and physical coexist in harmony. Your trusted workhorse with wings is ready for an off-road journey. Time to fly.",Pure Platinum/Baltic Blue/Black/Green Abyss,https://www.nike.com/id/t/react-pegasus-trail-4-se-trail-running-shoes-qQ8LZG/FB7182-001,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Blazer Low '77 Jumbo SE,Men's Shoes,"Rp1,669,000","They say, ""Don't fix what works"". We say, ""Perfect it"". Jumbo-sized details revamp this streetwear superstar for fresh style. Harnessing the old-school look you love, the Nike Blazer Low '77 Jumbo SE features an oversized Swoosh logo, thick stitching and extra-wide laces. Its classic simplicity meets big and bold—no wonder it's been praised by the streets since '77.",Light Smoke Grey/Photon Dust/Anthracite/Sail,https://www.nike.com/id/t/blazer-low-77-jumbo-se-shoes-xjBd33/FJ5467-077,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/f15eec5a-1b88-4e72-9b33-63cfc3424eb8/blazer-low-77-jumbo-se-shoes-xjBd33.png"
Nike Mercurial Superfly 9 Academy,Multi-Ground Football Boot,"Rp1,499,000","Step into the dawn of a new day and put the globe on notice about your skills. A flashy iridescent plate, futuristic graphic and vibrant colours resembling a gradient sunrise speak to the gravitational power of the women's game, a fully fledged force capable of uniting us on and off the pitch. Made for taking your game to the next level, it has Zoom Air cushioning and grippy texture up top for precise touch, so you can thrive in the waning minutes of your match.",Guava Ice/Black,https://www.nike.com/id/t/mercurial-superfly-9-academy-multi-ground-football-boot-cBCWdW/DZ3475-800,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cf202268-0d6f-4c85-8ce8-3fce83209724/mercurial-superfly-9-academy-multi-ground-football-boot-cBCWdW.png"
Nike Blazer Low '77 Jumbo,Men's Shoes,"Rp1,669,000","They say, ""Don't fix what works"". We say, ""Perfect it"". This hoops icon goes big and bold with exaggerated details like an oversized Swoosh and jumbo laces. The contrast of durable leather, soft suede and canvas provides a premium feel with the old-school look you love. And with a design rooted in classic simplicity, these kicks keep you comfortable and stylish from the underground to the pavement.",Oil Green/Treeline/Sail/Gorge Green,https://www.nike.com/id/t/blazer-low-77-jumbo-shoes-rHhr2x/FJ5468-386,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/18c18576-9806-4700-860c-36486a007700/blazer-low-77-jumbo-shoes-rHhr2x.png"
Nike Air Max 1,Shoes,"Rp2,199,000","Here comes the leader of the pack. Inspired by French architecture, savoured in sport and celebrated by fashion fans, this is the first shoe in the family to reveal Nike Air to the world. With a fast-paced look, tried-and-tested cushioning and a classic wavy mudguard, it's no wonder it's reigned supreme since 1987.",Sail/Light Bone/University Gold/Black,https://www.nike.com/id/t/air-max-1-shoes-KqVPww/FN7487-133,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Air Pegasus '89,Men's Shoes,"Rp1,909,000","The Nike Air Pegasus '89 resurrects a look that's as fresh as the era it came from. With suede overlays, a hidden Air unit and a Waffle outsole, this street-ready edition of the Pegasus blends retro style with modern comfort.",White/Photon Dust/Racer Blue,https://www.nike.com/id/t/air-pegasus-89-shoes-XwBsjh/FN3415-100,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3feda134-7a8e-47f1-8154-e1906bd0931f/air-pegasus-89-shoes-XwBsjh.png"
Jordan Crater,Slides,"Rp1,299,000","Walk the talk in the Jordan Crater Slide, a design created with a total of at least 12% recycled content.The open-toed strap is made with some recycled content, and the footbed is made from a combination of Nike Grind rubber and soft foam.",Coconut Milk/Anthracite/Sail,https://www.nike.com/id/t/jordan-crater-slides-FHCmBv/CT0713-100,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/82c3406f-7858-4e53-a0eb-73574ef2827b/jordan-crater-slides-FHCmBv.png"
Nike Air Flight Lite Mid,Men's Shoes,"Rp2,199,000","Take a trip down crossover lane with the '90s hoops shoe that ruled the court and the big screen. Originally one of the lightest basketball shoes released, its perforated leather keeps it airy while the plush collar and elevated tongue rock your retro style.",Photon Dust/Metallic Silver/Light Smoke Grey/Black,https://www.nike.com/id/t/air-flight-lite-mid-shoes-sFr84z/FJ2949-001,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ef1e219e-19b8-4a45-8056-2fff013230d8/air-flight-lite-mid-shoes-sFr84z.png"
Jordan Granville Pro,Men's Shoes,"Rp2,129,000","What's your go-to? A fresh addition to the 23 Engineered line, the Granville Pro swoops in and delivers big on the concept of 24/7. A throwback mix of materials, from classic suede to laser-cut textile and airy mesh, is inspired by MJ's university days. Exposed foam on the tongue and a sporty heel clip add retro-futuristic flair. And hidden details (check out the tongue-label text and ""23"" moulded into the outsole) add clout. Whatever you're getting up to, the Granville Pro has you covered.",Sail/University Red/Club Gold,https://www.nike.com/id/t/jordan-granville-pro-shoes-DwncdQ/DV1235-100,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/e928a349-e630-45f2-b3bf-daeb0d0008d7/jordan-granville-pro-shoes-DwncdQ.png
Nike Zoom Mercurial Superfly 9 Elite XXV FG,Firm-ground Football Boots,"Rp4,329,000","Celebrate the 25th anniversary of 1 of our fastest boots ever created with the Superfly 9 Elite XXV. Iconic colours synonymous with the Mercurial complement hints of its decorated history. The stunning chrome effect puts even more electricity into these lightning bolts loaded with Zoom Air, which begs the question: what moments will you etch into our memories over the next 25 years?",Metallic Silver/Black/Hyper Pink,https://www.nike.com/id/t/zoom-mercurial-superfly-9-elite-xxv-fg-football-boot-RxNPgm/FB8397-060,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Air Max 90 SE,Men's Shoes,"Rp1,868,000","Step into the history books. Paying homage to Frank Rudy, the man who created the coveted cornerstone of cushioning—Air—these sneakers celebrate his legacy with fun details. From the release year proudly stamped on the Air unit to the see-through ""Air pocket"" heel logo, striking visuals deliver a lesson in comfort.",Summit White/Sesame/Lemon Wash/Safety Orange,https://www.nike.com/id/t/air-max-90-se-shoes-7dKD8F/FB4315-100,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/67cf2b36-73ef-443a-8e99-a496eff525d6/air-max-90-se-shoes-7dKD8F.png"
Nike Blazer Mid '77,Men's Shoes,"Rp1,729,000","50 years after the birth of the genre, hip-hop is still influencing streetwear. Nike shoes have always been an integral part of this culture—both influencing and being influenced by iconic musicians, artists and fans. Celebrate half a century of art and culture with platinum details like a microphone charm. Lace up and get spinning.",White/Black/White/Smoke Grey,https://www.nike.com/id/t/blazer-mid-77-shoes-fW78R7/DV7194-100,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a2eaf301-687e-4235-9dc6-d1cb70f927be/blazer-mid-77-shoes-fW78R7.png"
Nike Waffle Debut,Men's Shoes,"Rp1,129,000","Retro gets modernised in the Nike Waffle Debut. Soft leather and an airy knit evoke a nostalgic collegiate vibe while a modernised wedge midsole helps make things feel plush and comfortable. To top it off, we've kept it classic on the bottom with the tried, true and trusted Waffle outsole to add traction, durability and heritage style.",Summit White/Picante Red/Pure Platinum/Black,https://www.nike.com/id/t/waffle-debut-shoes-tZQrq6/DV0743-101,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/219f6ff8-2aa4-48e7-8f0a-b2ca074719be/waffle-debut-shoes-tZQrq6.png"
Nike Air Max 95,Men's Shoes,"Rp2,669,000","Step out in style and tried-and-tested comfort with the Air Max 95. The wavy side panels feature a rich mixture of materials, adding a natural flow to any outfit, while visible Nike Air cushions every step.",White/Wolf Grey/Cool Grey/Yellow Strike,https://www.nike.com/id/t/air-max-95-shoes-CwsxnW/DX4236-100,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Air More Uptempo '96,Men's Shoes,"Rp2,268,000","More than perhaps any other silhouette, the Air More Uptempo encapsulates '90s basketball flavour at its finest. Big and loud, the unapologetic design represents a hybrid of style and innovation that made major waves when it debuted—and still turns heads today. This crafted take keeps it simple and easy to style in classic black and white, while pops of blue add a breath of fresh air. Speaking of air, the graffiti-style AIR graphic (an off-court fave) extends down the midsole for extra punch. Visible Nike Air cushioning finishes it off, giving you the edge in comfort.",Black/Multi-Colour/Cobalt Bliss/White,https://www.nike.com/id/t/air-more-uptempo-96-shoes-5m1N9s/DV0819-001,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4a0b089a-8108-45e9-bae4-c3f9c14b09c9/air-more-uptempo-96-shoes-5m1N9s.png"
NikeCourt Zoom Lite 3,Men's Hard Court Tennis Shoes,"Rp1,029,000","At first glance, the NikeCourt Zoom Lite 3 looks like a classic tennis shoe. Look closer and you'll find that it's anything but traditional. With a springy Zoom Air unit in the forefoot, a grippy outsole and an incredibly comfortable padded collar, it delivers the performance you need to play at your best.",White/Black,https://www.nike.com/id/t/nikecourt-zoom-lite-3-hard-court-tennis-shoes-rzcXmR/DH0626-100,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/1890d88e-b27a-4f60-8ff5-f86229375d36/nikecourt-zoom-lite-3-hard-court-tennis-shoes-rzcXmR.png
Nike Everyday Plus Lightweight,Crew Socks,"Rp259,000","Versatile in both style and function, these split-toe socks allow you to keep your feet warm and comfortable while wearing your favourite sandals. Breathable fabric on the top of the sock helps keep your feet dry through your day.",Black/White,https://www.nike.com/id/t/everyday-plus-lightweight-crew-socks-cXf1zB/DX1158-010,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/b7f449e9-e048-4976-a67c-db45ecd06b90/everyday-plus-lightweight-crew-socks-cXf1zB.png
Nike Air Penny 2,Men's Shoes,"Rp2,218,000","For hardcore Penny devotees and those just looking to refresh their off-court game, the Air Penny 2 is the slick assist your outfit calls for. Echoing the original, this pair ups the magic with premium leather and sculpted foam done in artisan colours. The iconic ""1 cent"" logo adds our stamp of approval, while visible Nike Air cushioning delivers coveted, all-star comfort.",Black/Dark Pony/Sail/Faded Spruce,https://www.nike.com/id/t/air-penny-2-shoes-qxR4SD/DV3465-001,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6b95b080-66fe-463a-9dc5-836dd0bf745b/air-penny-2-shoes-qxR4SD.png"
Nike Mercurial Vapor 15 Club,Multi-Ground Football Boot,"Rp799,000",The pitch is yours when you lace up in the light and low-to-the-ground Vapor 15 Club MG. Fast is in the Air.,Black/Hyper Royal/Chrome,https://www.nike.com/id/t/mercurial-vapor-15-club-multi-ground-football-boot-jPPt6S/DJ5963-040,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/a0de1623-6be6-4b42-8f3c-87caa324a2d7/mercurial-vapor-15-club-multi-ground-football-boot-jPPt6S.png
Nike Air Max Terrascape 90,Men's Shoes,"Rp2,379,000","Consider for a moment that pause when you see something new. Something exciting. That's the Nike Air Max Terrascape 90. A flashy new outsole with translucent rubber is combined with a Crater Foam midsole to bring you the spa treatment. Go ahead, introduce yourself.",Phantom/Light Bone/Citron Pulse/Action Grape,https://www.nike.com/id/t/air-max-terrascape-90-shoes-FgT0ns/DV7413-001,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/12525f47-c37e-4326-b18f-a9358d4fdb67/air-max-terrascape-90-shoes-FgT0ns.png
Nike Sportswear Everyday Essential,Crew Socks (3 Pairs),"Rp229,000","The Nike Sportswear Everyday Essential Socks are made from soft, stretchy fabric that moulds to your foot for all-day comfort. This product is made from at least 75% recycled polyester fibres.",Black/White,https://www.nike.com/id/t/sportswear-everyday-essential-crew-socks-07n4vt/DX5025-010,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/d715d25a-d3fe-4c2a-a345-af995ef1e2c4/sportswear-everyday-essential-crew-socks-07n4vt.png
Nike Metcon 8 AMP,Men's Training Shoes,"Rp1,868,000","We're here to help get you moving! Regardless of whether your pace is snail-like or lickety-split, the Nike Metcon 8 AMP helps keep you on the go. Expressive, playful graphics remind your fun can be found in every workout, no matter how tough. The upper is lighter and more breathable than our previous edition to complement our standards of durability and comfort so that you can float through your cardio and power through your lifts. So go ahead, put 1 foot in front of the other, we've got you, from your friends at the Moving Co.",Sand Drift/Hemp/Coconut Milk/Black,https://www.nike.com/id/t/metcon-8-amp-training-shoes-KkzKHZ/DV1206-100,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Air Max 1 Premium,Men's Shoes,"Rp2,489,000","A, B, C—let's go! Celebrating Hangul Day, the leader of the Air revolution elevates your game with a fresh, fashion-forward twist. Subtle graphics like a plastic overlay on the heel with ""나이키"" honour the Korean alphabet, while the jelly Swoosh and stylised lace ends bring the fun. For a premium finish, suede textile and a fleece collar lining elevate the look and feel. And the neutral colourway keeps 'em easy to style. Oh, and the toggle lacing is ideal when you're on the go.",Summit White/Sail/Coconut Milk/White,https://www.nike.com/id/t/air-max-1-shoes-d6KC4r/DZ5317-121,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Phantom GX Club,Multi-Ground Football Boot,"Rp999,000","Whether you're starting out or just playing for fun, the Club boot gets you on the pitch without compromising on quality. With synthetic leather and asymmetric lacing, they help provide precision touch to help you bury goals in the back of the net or set up a teammate with a pinpoint pass that swings the game in your favour. This version has a Dynamic Fit collar, which wraps your ankle in soft, stretchy fabric for a secure feel.﻿",Baltic Blue/White/Laser Blue/Pink Blast,https://www.nike.com/id/t/phantom-gx-club-multi-ground-football-boot-24PQkr/DD9482-446,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3b03d953-1c91-4f3c-a594-1bfd61ec64ac/phantom-gx-club-multi-ground-football-boot-24PQkr.png"
Air Jordan 1 Mid SE Craft,Men's Shoes,"Rp2,129,000","Turn style on its head with this crafted take on the Air Jordan 1 Mid. Its ""inside out""-inspired construction, including unique layering and exposed foam accents, ups the ante on this timeless Jordan Brand silhouette. Details like the deco stitching on the Swoosh add coveted appeal, while the unexpected shading, rich mixture of materials and aged midsole aesthetic give this release an artisan finish.",White/Tech Grey/Sail/Light Orewood Brown,https://www.nike.com/id/t/air-jordan-1-mid-se-craft-shoes-RmP7J6/DM9652-120,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/633a2cfb-8df9-48b3-be32-f0ccb0f7471c/air-jordan-1-mid-se-craft-shoes-RmP7J6.png
Nike Flex Experience Run 11,Men's Road Running Shoes,"Rp819,000","Comfortably zen, just like every run should be. With the Nike Flex Experience Run 11, we created a lightweight, clean design that feels as good as it looks. The shoes are supportive in all the right ways with movement so natural, you'll swear you've been wearing them for years.",Black/White,https://www.nike.com/id/t/flex-experience-run-11-road-running-shoes-rB6h46/DD9284-001,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/ec5dae3e-03d0-42fb-a415-2dbc4883e3a2/flex-experience-run-11-road-running-shoes-rB6h46.png
Nike SB Dunk Low Pro Premium,Men's Shoes,"Rp1,729,000","Pack your style—on your feet. Bringing a fresh twist to the iconic skate shoes, this ""take what you need"" design delivers a throwback look inspired by your favourite '90s backpack. Suede in key flick areas (reminiscent of the bottom half of those timeless backpacks) is paired with textured and durable textile, blending functionality with comfort.",Midnight Navy/Desert Ochre/Sail/Midnight Navy,https://www.nike.com/id/t/sb-dunk-low-pro-shoes-QqSCDj/DX6775-400,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Mercurial Vapor 15 Club,Turf Football Shoes,"Rp799,000",The pitch is yours when you lace up in the light and low-to-the-ground Vapor 15 Club TF. Fast is in the Air.,Black/Summit White/Volt/Dark Smoke Grey,https://www.nike.com/id/t/mercurial-vapor-15-club-football-shoes-KrwVSC/DJ5968-001,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1c69d8e6-5c77-4915-9321-b2b153e4bc6b/mercurial-vapor-15-club-football-shoes-KrwVSC.png"
